metric,manuscript_value,clean_rerun_value,match,notes
Road network: filtered segments (pre-noding),"254,252","254,252",exact,
Road network: total drivable length (pre-noding),"55,062 km","55,061.7 km",exact,rounds to same value
Road network: noded segments (pre-largest-component-filter),"439,091","439,091",exact,
Road network: total nodes (pre-largest-component-filter),"394,874","394,874",exact,
Road network: largest connected component nodes,"390,273","390,273",exact,
Road network: largest component connectivity %,98.9%,98.8%,differs (manuscript rounding error),"390,273/394,874 = 98.835%, which rounds to 98.8%, not 98.9%. The node counts are exact; only the manuscript's own arithmetic is wrong. Text needs correcting, not the pipeline."
Road network: largest component length (this repo's own new figure),not stated in manuscript,"54,431.8 km",n/a,"No manuscript figure to compare against for this specific quantity (manuscript states only the pre-filter 55,062 km total)."
Municipality snapping distance: mean / max,39.5 m / 297.5 m,39.5 m / 297.5 m,exact,
Settlement snapping distance: mean / max,"58.3 m / 1,470.5 m","58.3 m / 1,470.5 m",exact,
OD matrix: valid pairs (within 300km cutoff),99.84%,99.98%,differs — unresolved,"199 missing pairs vs manuscript's 2,107. Three targeted diagnostics (edge-filter definition, cutoff sweep 250-300km, routing/snapping combination) all ruled out as explanations — see reproducibility_note.md. Root cause not identified. Flagged as potentially argument-affecting if the manuscript discusses the missing-pair rate itself, but the resulting Huff catchment numbers this feeds into are reproduced almost exactly (see below), so downstream impact is small."
OD matrix: missing pairs,"2,107",199,differs — unresolved,Same root cause as above.
OD matrix: distance distribution (min/max/mean/median),not stated,"0.0 / 299,982.3 / 108,309.1 / 101,996.7 m",n/a,
Accessibility: facility type count,86,86,exact,The 87th 'facility' in the contaminated run was all_roads.gpkg itself; fixed in Stage 2A.
Accessibility: values missing after 80km primary search,"1,111",918,differs,"Same network-connectivity story as the OD matrix gap — better connectivity now, fewer missing values."
Accessibility: values recovered by 300km extended search,"1,105",918,differs,Same cause.
Accessibility: values remaining missing after both searches,6 (all district courts in Prekmurje),0,differs,"Improved connectivity resolved all previously-unreachable facility distances. This changes a specific claim (""6 district courts in Prekmurje are unreachable"") to false under the rerun — worth checking whether the manuscript text discusses this specific case."
Indicator count (mapped in tableS3),100,100,exact,
Indicator group counts,"Healthcare 9, Education 14, Traffic&Comm 14, Trade&Business 7, Culture 12, Sports&Rec 12, Tourism&Services 13, Finance 4, Judiciary&Emergency 8, Residential 7",identical,exact,
AHP consistency ratio (CR),0.024,0.0240,exact,"lambda_max=10.3225, CI=0.0358, RI=1.49 (Saaty, n=10)"
GI_NW descriptive stats (mean/median/sd),0.044 / 0.020 / 0.084,0.0437 / 0.0203 / 0.0839,exact,
GI_AHP descriptive stats (mean/median/sd),0.039 / 0.013 / 0.088,0.0388 / 0.0134 / 0.0884,exact,
"Ljubljana catchment, AHP","1,222","1,216",differs (-6),"The 6 missing villages (Konjščica-del, Nova vas, Vrtača, Gora, Sadni Hrib, Drešnik) all shared the identical manuscript distance-to-Ljubljana value 163,843.9 m — the Ljubljana column's fill value, meaning they were NOT reachable to Ljubljana within cutoff in the manuscript's network and were assigned to Ljubljana anyway via the column-max-fill + argmax mechanism, because Ljubljana's GI still won even at the penalized fill distance. In the fixed network they ARE reachable (real distances 2.9-19.2 km) and correctly lose to their true nearest small neighbor (Zagorje ob Savi, Sežana, Brežice, Cerknica, Kočevje x2). This is the rerun being MORE correct, not a regression — worth a sentence in the paper, not a silent overwrite."
"Ljubljana catchment, NW","1,022","1,016",differs (-6),"Same 6 villages, same cause, confirmed identical set under NW weighting."
"Novo mesto catchment, AHP",271,271,exact,
"Maribor catchment, AHP",226,226,exact,
"Celje catchment, AHP",218,218,exact,
"Ptuj catchment, AHP",210,210,exact,
Top 5 catchments combined (AHP),"2,147 (35.6%)","2,141 (35.5%)",differs (-6),Entirely the Ljubljana effect above; ranks 2-5 are exact.
Top 10 catchments combined (AHP),"2,830 (46.9%)","2,825 (46.8%)",differs (-5),"Ljubljana -6, Brežice +1."
"Top 15 catchments, AHP: 13 of 15 municipalities",see table4,"exact match on Novo mesto, Maribor, Celje, Ptuj, Krško, Črnomelj, Trebnje, Murska Sobota, Koper, Nova Gorica, Kranj, Sevnica, Slovenska Bistrica",exact,"Only Ljubljana (-6) and Brežice (125→126, +1) differ across all 15 AHP rows."
"Top 15 catchments, NW: 13 of 15 municipalities",see table4,"exact match on Novo mesto, Maribor, Krško, Črnomelj, Ptuj, Celje, Trebnje, Koper, Murska Sobota, Ivančna Gorica, Sevnica, Slovenska Bistrica, Šentjur",exact,"Only Ljubljana (-6) and Brežice (122→123, +1) differ across all 15 NW rows."
Single-settlement municipality count,32,32,exact,
Mean catchment size,28.5,28.5,exact,
Median catchment size,6.0,6.0,exact,
Ljubljana disagreements under AHP vs ML,940,939,close (-1),
"Beta sensitivity, beta=1.5 vs beta=2 (agreement / kappa)",not itemized (range only),77.60% / kappa 0.7560,n/a,
