metric,mkl_era_value_reconciliation_csv,openblas_fresh_rerun_value,verdict,note
Road network: filtered segments (pre-noding),"254,252","254,252",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Road network: total drivable length (pre-noding),"55,061.7 km","55,061.7 km",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Road network: noded segments,"439,091","439,091",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Road network: total nodes,"394,874","394,874",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Road network: largest component nodes / %,"390,273 (98.8%)","390,273 (98.8%)",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Road network: largest component length,"54,431.8 km","54,431.8 km",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Municipality snapping distance (mean/max),39.5 m / 297.5 m,39.5 m / 297.5 m,IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Settlement snapping distance (mean/max),"58.3 m / 1,470.5 m","58.3 m / 1,470.5 m",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
OD matrix missing pairs,199,199,IDENTICAL,"distance_matrix.npy cache reused (Dijkstra, no BLAS) -- see run notes on scope."
Accessibility: facility type count,86,86,IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Accessibility: missing after 80km search,918,918,IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Accessibility: missing after both searches,0,0,IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
AHP consistency ratio (CR) / lambda_max / CI,0.0240 / 10.3225 / 0.0358,0.0240 / 10.3225 / 0.0358,IDENTICAL,"np.linalg.eig on the 10x10 pairwise matrix -- a genuine LAPACK call, but routed through numpy's OWN self-contained wheel-bundled OpenBLAS (numpy.libs), never through the conda libblas/liblapack packages that were swapped. numpy's linalg was never exposed to the MKL crash at all -- only scipy's LAPACK calls were (scipy links against the conda environment's shared blas/lapack at build time; numpy does not). Confirmed identical."
GI_Final_NotWeighted descriptive stats (mean/median/sd),0.0437 / 0.0203 / 0.0839,0.0437 / 0.0203 / 0.0839,IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
GI_AHP descriptive stats (mean/median/sd),0.0388 / 0.0134 / 0.0884,0.0388 / 0.0134 / 0.0884,IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
Spatial CV block sizes (5 KMeans blocks),"52, 34, 24, 61, 41 (manuscript) / 61, 34, 23, 52, 42 (MKL-era clean rerun)","61, 34, 23, 52, 42",IDENTICAL,"THE key test. data/processed/spatial_blocks.csv cache (dated 2026-08-12, i.e. MKL-era, predating even Stage 2B) was deleted before this rerun to force a genuine fresh scipy.cluster.vq.kmeans2 computation under OpenBLAS. Result: not just matching sizes -- byte-for-byte identical per-municipality block assignment (diff confirmed zero differences against the archived MKL-era file). kmeans2 is NOT BLAS-sensitive on this data/seed. Since blocks are identical, the 5 CV folds are identical, which is why the R2 values below match so closely."
"Ljubljana catchment, AHP","1,216","1,216",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
"Ljubljana catchment, NW","1,016","1,016",IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
"Novo mesto / Maribor / Celje / Ptuj catchment, AHP",271 / 226 / 218 / 210,271 / 226 / 218 / 210,IDENTICAL,IDENTICAL (BLAS-independent step: no scipy.linalg/esda involved)
