section,metric,before,after,change,note
NW model R2,fold 1,0.8616093233699592,0.8608068078379446,-0.0008,
NW model R2,fold 2,0.878182540576063,0.9192177649069345,+0.0410,
NW model R2,fold 3,0.8338578560682566,0.8433972832643866,+0.0095,
NW model R2,fold 4,0.8922627971474545,0.8894844045203676,-0.0028,
NW model R2,fold 5,0.7326790445101332,0.760438796131018,+0.0278,
NW model R2,mean,0.8397183123343733,0.8546690113321302,+0.0150,
NW model R2,std,0.056940997368605216,0.05370793432508879,-0.0032,
"AHP model R2 (sanity check, must be unchanged)",mean,0.8456944081955934,0.8456944081955934,+0.0000,Model 1 feature set unaffected by this refit; identical before/after confirms no regression.
Feature importance by group -- NW-target model,Distance,69.27176252324738,69.16207087760851,-0.1097,
Feature importance by group -- AHP-target model (sanity check),Distance,62.531710526431155,62.531710526431155,+0.0000,
Feature importance by group -- NW-target model,GI_AHP,13.33156993517647,0.0,-13.3316,"AHP-target pct unchanged (22.69%, Model 1 untouched). NW-target pct BEFORE (13.33%) was the bug: NW model was trained on GI_AHP too. AFTER, NW-target's GI_AHP importance is correctly 0 -- it no longer sees that feature at all."
Feature importance by group -- AHP-target model (sanity check),GI_AHP,22.689011424706685,22.689011424706685,+0.0000,
Feature importance by group -- NW-target model,GI_NW,,17.993057161648082,,"Did not exist before this refit (NW model had no GI_NW feature). AFTER: NW-target model's own composite score carries 17.99% importance -- comparable in magnitude to GI_AHP's 22.69% for Model 1, suggesting the composite score genuinely matters for both models once each gets its correct one."
Feature importance by group -- AHP-target model (sanity check),GI_NW,,0.0,,
Feature importance by group -- NW-target model,Accessibility,5.554746789282716,5.458870046643316,-0.0959,
Feature importance by group -- AHP-target model (sanity check),Accessibility,7.189269218218099,7.189269218218099,+0.0000,
Feature importance by group -- NW-target model,Individual GI indicators,8.390256660750124,4.99546155324303,-3.3948,
Feature importance by group -- AHP-target model (sanity check),Individual GI indicators,6.842843757570959,6.842843757570959,+0.0000,
Feature importance by group -- NW-target model,Municipality area,3.4516640915433188,2.39054036085706,-1.0611,
Feature importance by group -- AHP-target model (sanity check),Municipality area,0.7471650730730961,0.7471650730730961,+0.0000,
NW vs ML agreement (%),agreement_pct,75.51358515573227,78.97614314115309,+3.4626,
NW vs ML agreement (n),n_agree/6036,4558,4767,+209.0000,
NW vs ML,cohen_kappa,0.7511085260653547,0.7856273436606817,+0.0345,
RF(AHP) vs RF(NW) agreement (%),agreement_pct,80.7819748177601,80.86481113320079,+0.0828,"User expected this to DROP since the models no longer share GI_AHP. It did NOT drop -- essentially flat (+0.08pp, +5 settlements). See report for why."
RF(AHP) vs RF(NW) agreement (n),n_agree/6036,4876,4881,+5.0000,
RF(AHP) vs RF(NW),cohen_kappa,0.8047207490479391,0.8053107022898427,+0.0006,
Moran's I,AHP_vs_NW,0.18376563233303994,0.18376563233303994,+0.0000,
Moran's I z-score,AHP_vs_NW,23.681893869312166,23.681893869312166,+0.0000,z fluctuates run-to-run by design (permutation estimate); not a pure refit effect.
Moran's I,AHP_vs_ML,0.4724555807216684,0.4724555807216684,+0.0000,
Moran's I z-score,AHP_vs_ML,63.705271603135586,63.705271603135586,+0.0000,z fluctuates run-to-run by design (permutation estimate); not a pure refit effect.
Moran's I,NW_vs_ML,0.44516475969321223,0.440285013555723,-0.0049,
Moran's I z-score,NW_vs_ML,55.78178140019985,57.182775167448746,+1.4010,z fluctuates run-to-run by design (permutation estimate); not a pure refit effect.
Moran's I,MLAHP_vs_MLNW,0.33755770369183,0.3607774267847584,+0.0232,
Moran's I z-score,MLAHP_vs_MLNW,43.45012766497194,46.20403383696251,+2.7539,z fluctuates run-to-run by design (permutation estimate); not a pure refit effect.
LISA class counts,AHP_vs_NW HH,1105,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
LISA class counts,AHP_vs_NW LL,296,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
LISA class counts,AHP_vs_NW HL,626,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
LISA class counts,AHP_vs_NW LH,162,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
LISA class counts,AHP_vs_NW not_significant,3847,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
LISA class counts,AHP_vs_ML HH,338,NOT RECOMPUTED,,"esda.Moran_Local crashes natively in this environment (reproducible on a synthetic 20x20 lattice with no repo data involved) -- see report. Values shown are the pre-refit Stage 3 (2026-08-26) numbers, now stale relative to the retrained NW model, but could not be refreshed this session."
